Path,Sample,ReferenceGenome,ProviderName,Subject,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:316-Scr-clNo-1_t11,Pacnes_C1,N718S510,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:313-Scr-Rc-2_t11,Pacnes_C1,N717S516,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:315-Scr-crNo-6_t11,Pacnes_C1,N713S512,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:314-Scr-Lc-2_t11,Pacnes_C1,N717S514,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:315-Scr-crNo-2_t11,Pacnes_C1,N717S512,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:313-Scr-Rc-3_t11,Pacnes_C1,N716S516,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:314-Scr-Lc-3_t11,Pacnes_C1,N716S514,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:315-Scr-crNo-3_t11,Pacnes_C1,N716S512,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:313-Scr-Rc-4_t11,Pacnes_C1,N715S516,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:314-Scr-Lc-4_t11,Pacnes_C1,N715S514,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:316-Scr-clNo-4_t11,Pacnes_C1,N715S510,4,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/,H:313-Scr-Rc-5_t11,Pacnes_C1,N714S516,4,
