,subj-1_scrape-379_col-1,subj-1_scrape-379_col-2,subj-1_scrape-379_col-3,subj-1_scrape-380_col-1,subj-1_scrape-380_col-2,subj-1_scrape-380_col-3,subj-1_scrape-380_col-4,subj-1_scrape-380_col-5,subj-1_scrape-380_col-6,subj-1_scrape-297_col-1,subj-1_scrape-297_col-2,subj-1_scrape-298_col-1,subj-1_scrape-298_col-2,subj-1_scrape-298_col-3,subj-1_scrape-299_col-1,subj-1_scrape-288_col-1,subj-1_scrape-288_col-2,subj-1_scrape-288_col-3,subj-1_scrape-287_col-1,subj-1_scrape-287_col-2,subj-1_scrape-291_col-3,subj-1_scrape-287_col-3,subj-1_scrape-67_col-1,subj-1_scrape-67_col-2,subj-1_scrape-68_col-1,subj-1_scrape-66_col-1,subj-1_scrape-66_col-2,subj-1_scrape-66_col-3,subj-1_scrape-67_col-3,subj-1_scrape-416_col-1,subj-1_scrape-416_col-2,subj-1_scrape-416_col-3,subj-1_scrape-416_col-4,subj-1_scrape-417_col-1,subj-1_scrape-417_col-2,subj-1_scrape-417_col-3,subj-1_scrape-417_col-4,subj-1_scrape-418_col-2,subj-1_scrape-415_col-3,subj-1_scrape-418_col-3,subj-1_scrape-418_col-4,subj-1_scrape-442_col-1,subj-1_scrape-442_col-3,subj-1_scrape-442_col-6,subj-1_scrape-444_col-1,subj-1_scrape-444_col-2,subj-1_scrape-444_col-3,subj-1_scrape-444_col-4,subj-1_scrape-444_col-5,subj-1_scrape-443_col-1,subj-1_scrape-443_col-2,subj-1_scrape-443_col-3,subj-1_scrape-443_col-4,subj-1_scrape-443_col-5,subj-1_scrape-443_col-6,subj-1_scrape-444_col-7,subj-1_scrape-444_col-8,subj-1_scrape-444_col-9,subj-1_scrape-444_col-13,subj-1_scrape-444_col-14,subj-1_scrape-443_col-7,subj-1_scrape-443_col-8,subj-1_scrape-443_col-9,
subj-1_scrape-417_col-4,13,7,11,10,8,8,7,10,11,7,7,8,8,7,9,11,10,10,4,4,7,5,10,8,11,10,8,9,10,8,8,9,7,12,11,12,0,11,10,11,11,13,10,10,12,12,11,9,10,13,12,14,6,15,17,11,12,12,12,12,12,10,11,
subj-1_scrape-418_col-2,16,10,14,13,7,7,6,13,12,6,6,7,7,4,12,14,11,11,7,7,5,10,13,7,14,13,7,12,13,11,11,12,10,13,12,13,11,0,13,0,0,16,9,7,15,13,10,12,13,12,15,13,9,18,18,14,13,13,13,13,11,13,14,
subj-1_scrape-415_col-3,3,9,13,12,10,10,9,12,13,9,9,10,10,9,9,13,12,12,6,6,9,9,12,10,12,8,10,9,12,8,8,11,7,14,13,14,10,13,0,13,13,15,12,12,14,14,13,11,8,15,2,16,8,5,19,9,14,14,14,14,14,12,13,
subj-1_scrape-418_col-3,16,10,14,13,7,7,6,13,12,6,6,7,7,4,12,14,11,11,7,7,5,10,13,7,14,13,7,12,13,11,11,12,10,13,12,13,11,0,13,0,0,16,9,7,15,13,10,12,13,12,15,13,9,18,18,14,13,13,13,13,11,13,14,
subj-1_scrape-418_col-4,16,10,14,13,7,7,6,13,12,6,6,7,7,4,12,14,11,11,7,7,5,10,13,7,14,13,7,12,13,11,11,12,10,13,12,13,11,0,13,0,0,16,9,7,15,13,10,12,13,12,15,13,9,18,18,14,13,13,13,13,11,13,14,
subj-1_scrape-442_col-1,18,8,12,15,13,13,12,3,16,12,12,13,13,12,14,16,15,15,9,9,12,12,15,13,16,15,13,14,11,13,13,14,12,17,16,17,13,16,15,16,16,0,15,15,17,17,16,14,15,18,17,19,11,20,22,16,17,17,17,17,17,15,4,
subj-1_scrape-442_col-3,15,9,13,12,2,2,5,12,11,5,5,2,2,5,11,13,10,10,6,6,5,9,12,6,13,12,2,11,12,10,10,11,9,12,11,12,10,9,12,9,9,15,0,8,14,12,5,11,12,11,14,12,8,17,17,13,12,12,12,12,10,12,13,
subj-1_scrape-442_col-6,15,9,13,12,6,6,5,12,11,5,5,6,6,3,11,13,10,10,6,6,4,9,12,6,13,12,6,11,12,10,10,11,9,12,11,12,10,7,12,7,7,15,8,0,14,12,9,11,12,11,14,12,8,17,17,13,12,12,12,12,10,12,13,
subj-1_scrape-444_col-1,17,11,15,6,12,12,11,14,15,11,11,12,12,11,13,7,14,14,8,8,11,11,6,12,7,14,12,13,14,12,12,13,11,16,15,16,12,15,14,15,15,17,14,14,0,16,15,13,14,17,16,18,10,19,21,15,16,16,16,16,16,6,15,
subj-1_scrape-444_col-2,17,11,15,14,10,10,9,14,3,9,9,10,10,9,13,15,2,2,8,8,9,11,14,10,15,14,10,13,14,12,12,13,11,4,9,10,12,13,14,13,13,17,12,12,16,0,13,13,14,15,16,16,10,19,15,15,10,0,0,10,14,14,15,
