Path,Sample,ReferenceGenome,ProviderName,Subject,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,A:375-Scr-Lc-2_t11,Pacnes_C1,N714S503,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool1_HHW2FBGXY/ /scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,O:384-Scr-crNo-2_t11,Pacnes_C1,N714S502,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,N:369-Scr-clNo-4_t11,Pacnes_C1,N724S516,N,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:332-Scr-Lc-4_t11,Pacnes_C1,N724S515,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:352-Scr-crNo-6_t11,Pacnes_C1,N724S514,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:341-Scr-Fo-5_t11,Pacnes_C1,N724S513,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:331-Scr-Rc-6_t11,Pacnes_C1,N724S512,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,A:380-Scr-tlBa-6_t11,Pacnes_C1,N724S511,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,N:370-Scr-Ch-6_t11,Pacnes_C1,N724S510,N,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:341-Scr-Fo-4_t11,Pacnes_C1,N724S509,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:332-Scr-Lc-3_t11,Pacnes_C1,N723S515,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:341-Scr-Fo-3_t11,Pacnes_C1,N723S513,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:331-Scr-Rc-5_t11,Pacnes_C1,N723S512,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,A:380-Scr-tlBa-5_t11,Pacnes_C1,N723S511,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:330-Scr-Fo-6_t11,Pacnes_C1,N723S509,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,A:380-Scr-tlBa-4_t11,Pacnes_C1,N722S511,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,N:370-Scr-Ch-4_t11,Pacnes_C1,N722S510,N,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,N:368-Scr-crNo-5_t11,Pacnes_C1,N721S515,N,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,M:352-Scr-crNo-1_t11,Pacnes_C1,N713S515,M,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,A:380-Scr-tlBa-3_t11,Pacnes_C1,N721S511,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:330-Scr-Fo-4_t11,Pacnes_C1,N721S509,I,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,N:368-Scr-crNo-4_t11,Pacnes_C1,N720S515,N,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,O:381-Scr-Fo-4_t11,Pacnes_C1,N720S514,O,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,K:341-Scr-Fo-1_t11,Pacnes_C1,N713S514,K,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,A:380-Scr-tlBa-2_t11,Pacnes_C1,N720S511,A,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_08_Pool2_HFF5FBGXY/,I:330-Scr-Fo-3_t11,Pacnes_C1,N720S509,I,
